Plasmid	Evidence	Property	Source	Genome Name	PATRIC ID	Source ID	Source Organism	Gene	Product	Function	Classification	PubMed	Subject Coverage	Query Coverage	Identity	E-value
pVA32-200	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.37	Q9ZHC7	Salmonella typhimurium		"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"	the p-type atpase (p-atpase) superfamily.	3.A.3.5.4	9930866	88	89	96	0.0
pVA32-200	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.43	Q47453	Escherichia coli		Copper resistance protein B	the copper resistance putative porin (copb) family.	1.B.76.1.5		100	100	100	1e-174
pVA32-200	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.149	WP_000219391.1	Gammaproteobacteria		Macrolide 2'-phosphotransferase => Mph(A) family	MULTISPECIES: Mph(A) family macrolide 2'-phosphotransferase			100	100	100	1e-172
pVA32-200	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.39	B7L5V2	Escherichia coli (strain 55989 / EAEC)		"Cell wall endopeptidase, family M23/M37"	the bacillus gap junction-like channel-forming complex (gj-cc) family.	1.A.34.1.3		100	100	99	1e-137
pVA32-200	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.140	AEJ33969.1	Vibrio fluvialis	sul1	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein		"antibiotic target replacement protein,sulfonamide resistance gene"		100	100	100	1e-156
pVA32-200	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.149			Mph(A) family	Macrolide 2'-phosphotransferase => Mph(A) family	Macrolide 2'-phosphotransferase => Mph(A) family	antibiotic inactivation enzyme	10960087				
pVA32-200	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.140	WP_000259031.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul1			100	100	100	1e-156
pVA32-200	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.106			Mph(A) family	Macrolide 2'-phosphotransferase => Mph(A) family	Macrolide 2'-phosphotransferase => Mph(A) family	antibiotic inactivation enzyme	10960087				
pVA32-200	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.35	Q9ZHC9	Salmonella typhimurium		"Copper/silver efflux RND transporter, transmembrane protein CusA"	the resistance-nodulation-cell division (rnd) superfamily.	2.A.6.1.3	9930866	100	100	98	0.0
pVA32-200	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.104	P00551	Escherichia coli	aphA1	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-I	Kanamycin	Drug enzyme		100	100	99	1e-162
pVA32-200	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.140	P0C002	Escherichia coli	sulI	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	Sulfacetamide	Drug target		100	100	100	1e-156
pVA32-200	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.118	ABC17627.1	Escherichia coli	AAC(6')-Ib-cr	Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating		"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene"		100	100	100	1e-112
pVA32-200	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.119			OXA-1 family	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	antibiotic inactivation enzyme					
pVA32-200	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.139	WP_000679427.1	Bacteria		"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	MULTISPECIES: quaternary ammonium compound efflux SMR transporter QacE delta 1			100	100	100	6e-60
pVA32-200	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.45	Q47455	Escherichia coli		Copper resistance protein CopD	the copper resistance (copd) family.	9.B.62.1.1	8594334	100	100	99	1e-171
pVA32-200	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.254	228931267	Salmonella enterica subsp. enterica serovar Typhimurium	sopA	Chromosome (plasmid) partitioning protein ParA			12065528	100	100	97	1e-225
pVA32-200	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.119	WP_001334766.1	Proteobacteria		Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	MULTISPECIES: oxacillin-hydrolyzing class D beta-lactamase OXA-1			100	94	100	1e-158
pVA32-200	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.32	Q9ZHD2	Salmonella typhimurium		"Copper/silver efflux RND transporter, outer membrane protein CusC"	the outer membrane factor (omf) family.	1.B.17.3.4	9930866	100	89	99	1e-259
pVA32-200	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.148	AAS13767.1	Aeromonas hydrophila	Mrx	hypothetical protein		"antibiotic inactivation enzyme,macrolide resistance gene"		100	100	100	1e-228
pVA32-200	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.63	P0AB93	Escherichia coli		Arsenite/antimonite:H+ antiporter ArsB	the arsenite-antimonite (arsab) efflux family.	3.A.4.1.1	1535622;15919996;16738553;1704144;3021763;7721697;8041620;9278503	100	100	93	1e-230
pVA32-200	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.104	WP_000018329.1	Bacteria		Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-I	MULTISPECIES: aminoglycoside O-phosphotransferase APH(3')-Ia			100	100	100	1e-162
pVA32-200	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.136	AHW42429.1	Klebsiella pneumoniae subsp. pneumoniae	dfrA12	Dihydrofolate reductase (EC 1.5.1.3)		"antibiotic target replacement protein,trimethoprim resistance gene"		100	100	100	1e-90
pVA32-200	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.104			APH(3')-I	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-I	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-I	antibiotic inactivation enzyme	6270337;2832861;2160941				
pVA32-200	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.114	WP_000239590.1	Bacteria		"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	MULTISPECIES: class A extended-spectrum beta-lactamase CTX-M-15			100	100	100	1e-161
pVA32-200	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.136			"folA, Dfr"	Dihydrofolate reductase (EC 1.5.1.3)	Dihydrofolate reductase (EC 1.5.1.3)	antibiotic target in susceptible species	20169085;25288078				
pVA32-200	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.119	P13661	Escherichia coli	bla	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	Lysine Nz-Carboxylic Acid	Drug target		100	94	100	1e-158
pVA04-196	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.98	P02982	Escherichia coli		"Tetracycline resistance, MFS efflux pump => Tet(A)"	the major facilitator superfamily (mfs).	2.A.1.2.4	1312499;6310527	76	92	100	1e-174
pVA04-196	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.93			OXA-1 family	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	antibiotic inactivation enzyme					
pVA04-196	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.82			APH(6)-Ic/APH(6)-Id	Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id	Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id	antibiotic inactivation enzyme	3889831;15722395				
pVA04-196	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.60	P0AB93	Escherichia coli		Arsenite/antimonite:H+ antiporter ArsB	the arsenite-antimonite (arsab) efflux family.	3.A.4.1.1	1535622;15919996;16738553;1704144;3021763;7721697;8041620;9278503	100	100	93	1e-230
pVA04-196	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.94	ABC17627.1	Escherichia coli	AAC(6')-Ib-cr	Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating		"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene"		100	86	100	1e-112
pVA04-196	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.106	ABC86904.1	Klebsiella pneumoniae	QnrB1	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10		"antibiotic target protection protein,fluoroquinolone resistance gene"		94	100	100	1e-123
pVA04-196	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.126	ABG56269.1	Citrobacter freundii	QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10		"antibiotic target protection protein,fluoroquinolone resistance gene"		100	100	99	1e-130
pVA04-196	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.59	P08692	Escherichia coli	arsC	"Arsenate reductase (EC 1.20.4.1) glutaredoxin-coupled, glutaredoxin-like family"	Thiarsahydroxy-Cysteine;Thiarsa Dihydroxy Cysteine;S-Arsonocysteine;Trihydroxyarsenite(Iii)	Drug target		100	100	95	6e-72
pVA04-196	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.81			APH(3'')-I	Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I	Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I	antibiotic inactivation enzyme	2167474;2653965;16954315				
pVA04-196	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.126			QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	antibiotic target protection protein	17938184				
pVA04-196	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.98			Tet(A)	"Tetracycline resistance, MFS efflux pump => Tet(A)"	"Tetracycline resistance, MFS efflux pump => Tet(A)"	efflux pump conferring antibiotic resistance	11272255				
pVA04-196	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.106			QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	antibiotic target protection protein	17938184				
pVA04-196	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.90	WP_000557452.1	Bacteria		"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"	MULTISPECIES: aminoglycoside N-acetyltransferase AAC(3)-IIa			100	100	100	1e-167
pVA04-196	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.264	228931267	Salmonella enterica subsp. enterica serovar Typhimurium	sopA	Chromosome (plasmid) partitioning protein ParA			12065528	100	100	97	1e-225
pVA04-196	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.35	Q9ZHC7	Salmonella typhimurium		"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"	the p-type atpase (p-atpase) superfamily.	3.A.3.5.4	9930866	88	89	96	0.0
pVA04-196	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.30	Q9ZHD2	Salmonella typhimurium		"Copper/silver efflux RND transporter, outer membrane protein CusC"	the outer membrane factor (omf) family.	1.B.17.3.4	9930866	100	89	99	1e-259
pVA04-196	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.93	WP_001334766.1	Proteobacteria		Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	MULTISPECIES: oxacillin-hydrolyzing class D beta-lactamase OXA-1			100	94	100	1e-158
pVA04-196	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.90			"AAC(3)-II,III,IV,VI,VIII,IX,X"	"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"	"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"	antibiotic inactivation enzyme	1960117;1354954;18467306;1649572;20387903;6318050;19709289;2060791;8257126;19949054;2060791;10639379				
pVA04-196	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.112	AAL02127.1	Escherichia coli	CTX-M-15	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-161
pVA04-196	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.80	AAL59753.1	Vibrio cholerae	sul2	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein				100	100	100	1e-148
pVA04-196	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.84	CAD09800.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	TEM-1	Class A beta-lactamase (EC 3.5.2.6) => TEM family		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-163
pVA04-196	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.81	ABK33456.1	Pseudomonas aeruginosa	APH(3'')-Ib	Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	99	1e-156
pVA04-196	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.146			"folA, Dfr"	Dihydrofolate reductase (EC 1.5.1.3)	Dihydrofolate reductase (EC 1.5.1.3)	antibiotic target in susceptible species	20169085;25288078				
pVA04-196	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.112	Q9EXV5	Escherichia coli	blaUOE-1	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	Avibactam	Drug target		100	100	100	1e-161
pVA04-196	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.80	WP_001043260.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul2			100	100	100	1e-148
pVA04-196	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.82	AAC23556.1	Pseudomonas aeruginosa	APH(6)-Id	Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	99	1e-160
pVA04-196	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.146	ACI32877.1	Escherichia coli	dfrA14	Dihydrofolate reductase (EC 1.5.1.3)		"antibiotic target replacement protein,trimethoprim resistance gene"		97	99	99	1e-87
pVA04-196	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.90	CAA38525.1	Escherichia coli	AAC(3)-IIc	"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	95	1e-159
pVA04-196	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.40	Q47453	Escherichia coli		Copper resistance protein B	the copper resistance putative porin (copb) family.	1.B.76.1.5		100	98	100	1e-174
pVA04-196	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.84	P62593	Escherichia coli	bla	Class A beta-lactamase (EC 3.5.2.6) => TEM family	"Benzylpenicillin;1(R)-1-Acetamido-2-(3-Carboxyphenyl)Ethyl Boronic Acid;[[N-(Benzyloxycarbonyl)Amino]Methyl]Phosphate;[(2-Ethoxy-1-Naphthoyl)Amino]Methylboronic Acid;Pinacol[[2-Amino-Alpha-(1-Carboxy-1-Methylethoxyimino)-4-Thiazoleacetyl]Amino]Methaneboronate;N,N-Bis(4-Chlorobenzyl)-1h-1,2,3,4-Tetraazol-5-Amine;3-(4-Phenylamino-Phenylamino)-2-(1h-Tetrazol-5-Yl)-Acrylonitrile;1(R)-1-ACETAMIDO-2-(3-CARBOXY-2-HYDROXYPHENYL)ETHYL BORONIC ACID;(1R)-2-PHENYLACETAMIDO-2-(3-CARBOXYPHENYL)ETHYL BORONIC ACID;[(2-AMINO-ALPHA-METHOXYIMINO-4-THIAZOLYLACETYL)AMINO]METHYLBORONIC ACID;(1R)-1-(2-THIENYLACETYLAMINO)-1-(3-CARBOXYPHENYL)METHYLBORONIC ACID;Avibactam"	Drug target		100	100	100	1e-163
pVA04-196	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.98	AAO16462.1	uncultured bacterium	tetC	"Tetracycline resistance, MFS efflux pump => Tet(A)"		efflux pump conferring antibiotic resistance		99	56	81	4e-86
pVA04-196	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.42	Q47455	Escherichia coli		Copper resistance protein CopD	the copper resistance (copd) family.	9.B.62.1.1	8594334	100	100	99	1e-171
pVA04-196	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.84			TEM family	Class A beta-lactamase (EC 3.5.2.6) => TEM family	Class A beta-lactamase (EC 3.5.2.6) => TEM family	antibiotic inactivation enzyme	11585791				
pVA04-196	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.169	218534560	Escherichia coli S88 	traT	IncF plasmid conjugative transfer surface exclusion protein TraT			3323837	86	98	87	1e-114
pVA04-196	BLAT	Virulence Factor	PATRIC_VF	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.169	EC042_pAA071	Escherichia coli 042	traT	IncF plasmid conjugative transfer surface exclusion protein TraT		Serum resistance	1730875	92	98	86	1e-112
pVA04-196	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.81	WP_001082319.1	Bacteria		Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I	MULTISPECIES: aminoglycoside O-phosphotransferase APH(3'')-Ib			100	100	100	1e-157
pVA04-196	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.84	WP_000027057.1	Bacteria		Class A beta-lactamase (EC 3.5.2.6) => TEM family	MULTISPECIES: class A broad-spectrum beta-lactamase TEM-1			100	100	100	1e-163
pVA04-196	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.112	WP_000239590.1	Bacteria		"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	MULTISPECIES: class A extended-spectrum beta-lactamase CTX-M-15			100	100	100	1e-161
pVA04-196	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.126	WP_012954666.1	Gammaproteobacteria		Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrB19			100	94	100	1e-124
pVA04-196	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.98	WP_000804063.1	Gammaproteobacteria		"Tetracycline resistance, MFS efflux pump => Tet(A)"	MULTISPECIES: tetracycline efflux MFS transporter Tet(A)			76	92	100	1e-174
pVA04-196	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.106	WP_014386481.1	Enterobacterales		Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrB1			100	100	100	1e-123
pVA04-196	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.93	AIA58911.1	Pseudomonas aeruginosa	OXA-1	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-167
pVA04-196	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.93	P13661	Escherichia coli	bla	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	Lysine Nz-Carboxylic Acid	Drug target		100	94	100	1e-158
pVA04-196	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.82	WP_000480968.1	Bacteria		Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id	MULTISPECIES: aminoglycoside O-phosphotransferase APH(6)-Id			100	100	100	1e-161
pVA04-196	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.33	Q9ZHC9	Salmonella typhimurium		"Copper/silver efflux RND transporter, transmembrane protein CusA"	the resistance-nodulation-cell division (rnd) superfamily.	2.A.6.1.3	9930866	100	100	98	0.0
pVA04-196	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.146	WP_021529707.1	Enterobacteriaceae		Dihydrofolate reductase (EC 1.5.1.3)	MULTISPECIES: trimethoprim-resistant dihydrofolate reductase DfrA14			100	100	99	3e-88
pVA04-196	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV1p1	fig|573.32856.peg.112			CTX-M family	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	antibiotic inactivation enzyme	17289764				
